Date,unemp,sp500,baa,aaa 
1950-02-01,6.4,0.01861382305032996,3.24,2.58
1950-03-01,6.3,0.008902627389103244,3.24,2.58
1950-04-01,5.8,0.028346078498502687,3.23,2.6
1950-05-01,5.5,0.032488291015370215,3.25,2.61
1950-06-01,5.4,0.016264089759584304,3.28,2.62
1950-07-01,5.0,-0.07494022795999825,3.32,2.65
1950-08-01,4.5,0.05859466174818158,3.23,2.61
1950-09-01,4.4,0.03473158759615809,3.21,2.64
1950-10-01,4.2,0.039807185046106856,3.22,2.67
1950-11-01,4.2,-0.003077503370456305,3.22,2.67
1950-12-01,4.3,-0.0026805730993051543,3.2,2.67
1951-01-01,3.7,0.07128996786786054,3.17,2.66
1951-02-01,3.4,0.03586682852788589,3.16,2.66
1951-03-01,3.4,-0.01657371370287913,3.23,2.78
1951-04-01,3.1,0.012281896955798744,3.35,2.87
1951-05-01,3.0,0.0024379965743277316,3.4,2.89
1951-06-01,3.2,-0.01802956010285266,3.49,2.94
1951-07-01,3.1,0.017743378660924618,3.53,2.94
1951-08-01,3.1,0.04285270772302502,3.5,2.88
1951-09-01,3.3,0.025533194799266933,3.46,2.84
1951-10-01,3.5,-0.004972406489519603,3.5,2.89
1951-11-01,3.5,-0.02838832777313796,3.56,2.96
1951-12-01,3.1,0.03068683431326363,3.61,3.01
1952-01-01,3.2,0.031927826620868655,3.59,2.98
1952-02-01,3.1,-0.020151588896399567,3.53,2.93
1952-03-01,2.9,0.0046750262688412345,3.51,2.96
1952-04-01,2.9,-0.00328532775283776,3.5,2.93
1952-05-01,3.0,4.012711251785386e-05,3.49,2.93
1952-06-01,3.0,0.026941719370636788,3.5,2.94
1952-07-01,3.2,0.02825040446244506,3.5,2.95
1952-08-01,3.4,0.0040919967194119255,3.51,2.94
1952-09-01,3.1,-0.016030844534481767,3.52,2.95
1952-10-01,3.0,-0.021453487558675943,3.54,3.01
1952-11-01,2.8,0.031391352035034015,3.53,2.98
1952-12-01,2.7,0.03956475455054446,3.51,2.97
1953-01-01,2.9,0.0053793987403370335,3.51,3.02
1953-02-01,2.6,-0.010838597119375085,3.53,3.07
