Date,m_t,IBM,CSCO,AAPL,MSFT,ORCL,INTC,TXN,QCOM,AMAT,ADBE
2000-08-31,32.52634,0.8368081,1.582933,1.1027292,-0.23537223,1.4006413,0.7333458,-0.15880942,1.0826046,0.8887278,0.18172546
2000-09-01,64.26657,0.7767778,-0.08639184,1.9304308,0.28617743,0.84861124,-0.5565357,0.14367095,-0.5843535,-0.772142,1.749456
2000-09-05,17.496178,-1.2173268,-2.0803335,-0.878976,-0.11839118,-0.81127214,-2.7639143,-0.7294633,-0.020832881,-0.23613967,-0.6299412
2000-09-06,-75.58827,0.10944351,-1.5347322,-3.3372202,-0.7145159,-0.9775091,-2.255204,-2.339071,1.7221887,-2.5388355,-1.9264593
2000-09-08,-235.87344,-1.9918363,-2.112841,-2.6528566,-0.7786804,-2.5523357,-1.3692254,-2.3625803,-1.9906524,-2.7327654,-1.0087097
2000-09-11,20.886663,-2.5883274,-2.3386433,-0.4597863,-0.5338618,-1.741353,-0.4768928,-0.5277218,-2.724589,-0.22424047,-2.1624758
2000-09-12,-196.15404,0.24468975,-2.2277808,-0.67423755,-0.73096085,-2.4440553,0.12315555,-0.6625052,2.4059339,-2.0932722,-1.5892574
2000-09-13,-70.58531,1.3936273,2.2087955,0.12319029,0.06448668,1.4410229,-2.501625,-0.23791572,1.7509714,1.2938018,1.1516606
2000-09-14,-47.060444,-0.43743625,-0.09743077,-1.0658573,-2.4719234,1.7816932,-1.1680955,2.4963317,-1.1162747,0.47975457,-0.16193925
2000-09-18,-137.77188,-0.9594352,-2.5102339,4.4995794,-1.3109769,-1.1674438,-1.3158056,0.12218438,2.276909,-0.56444126,3.1196165
2000-09-19,-278.15604,0.8798588,1.756115,-0.6880127,2.0659156,1.7629931,3.3235343,3.5450776,4.6048055,2.6468956,3.4615448
2000-09-20,-245.62305,-0.12516637,0.9795016,0.81602657,-0.83519155,0.3669694,1.8209372,-2.9377394,-1.5966041,0.54049623,1.4839531
2000-09-21,-334.44608,-1.7824762,-1.8418934,-3.8165436,-0.11032732,-0.6297992,-1.1283149,-5.2967677,-2.0379732,-2.5820243,-0.19019866
2000-09-22,107.68178,1.2362262,-0.7201451,-4.2673044,-1.0031887,1.0283527,-10.255856,2.5330396,0.5439571,-2.0296872,-2.012012
2000-09-25,327.9772,-0.4185654,-2.3921466,1.0018111,-1.9804372,-1.0587567,-2.1995082,-3.899928,-1.7862586,-1.4445115,-0.475156
